Month,#Passengers_synthetic
1949-01-01,108.54045970953801
1949-02-01,107.37919059815218
1949-03-01,118.07092613968052
1949-04-01,123.44193808875498
1949-05-01,123.25323288540157
1949-06-01,140.33017433670003
1949-07-01,155.477071953648
1949-08-01,154.16520650813516
1949-09-01,129.69799894047136
1949-10-01,114.25658439227998
1949-11-01,101.31531721735459
1949-12-01,116.92017824657897
1950-01-01,118.34694630055154
1950-02-01,113.70349672646729
1950-03-01,151.19012626820114
1950-04-01,134.48033738732968
1950-05-01,138.67297495792522
1950-06-01,153.85257400817062
1950-07-01,163.4406886131457
1950-08-01,182.63341069157738
1950-09-01,152.68425488873902
1950-10-01,139.56899124251805
1950-11-01,123.25634002944817
1950-12-01,133.94884601418318
1951-01-01,148.35426533131482
1951-02-01,133.519464492508
1951-03-01,164.8879801733601
1951-04-01,169.54513285114493
1951-05-01,170.3235403495723
1951-06-01,192.38145646604042
1951-07-01,208.98273419492327
1951-08-01,223.3943669104671
1951-09-01,188.56908433349156
1951-10-01,163.0626828957312
1951-11-01,145.12666134963987
1951-12-01,161.0713173488206
1952-01-01,166.29729729729732
1952-02-01,166.63048612971673
1952-03-01,178.7144611514416
1952-04-01,192.19865768863082
1952-05-01,193.12096979147572
1952-06-01,213.4121208949333
1952-07-01,244.89593630656185
1952-08-01,242.99262539809197
1952-09-01,205.36602338584095
1952-10-01,190.188567467924
1952-11-01,169.23216761031264
1952-12-01,191.36232503421235
1953-01-01,184.87258319432507
1953-02-01,201.3282844382465
1953-03-01,242.98558187435637
1953-04-01,218.7245166432958
1953-05-01,220.03561421713013
1953-06-01,253.6530007061636
1953-07-01,292.32029764187985
1953-08-01,261.04475802822924
1953-09-01,243.93537317700893
1953-10-01,203.03438180260608
1953-11-01,178.23734029249366
1953-12-01,202.0419527626068
1954-01-01,205.58700529479353
1954-02-01,214.61305546254
1954-03-01,234.4999011097764
1954-04-01,227.7112422289592
1954-05-01,231.63432922458188
1954-06-01,280.20227805880074
1954-07-01,289.3746333158269
1954-08-01,282.49926703625
1954-09-01,265.9016397029871
1954-10-01,248.65382045901993
1954-11-01,205.83252336448604
1954-12-01,225.91692214889125
1955-01-01,222.80077889478505
1955-02-01,236.63754790762644
1955-03-01,262.8786270714052
1955-04-01,267.12704461700446
1955-05-01,280.04527591726287
1955-06-01,307.60484475803236
1955-07-01,331.22380398306564
1955-08-01,361.25728982512646
1955-09-01,309.4233208854988
1955-10-01,283.484710969002
1955-11-01,245.07246214887726
1955-12-01,276.229629656205
1956-01-01,289.65939261958357
1956-02-01,297.6819035691923
1956-03-01,303.9321475625824
1956-04-01,302.20229443752305
1956-05-01,318.4481619269432
1956-06-01,344.1832637847396
1956-07-01,392.5575022570597
1956-08-01,413.37340746986933
1956-09-01,350.74044170030874
1956-10-01,322.0903468017521
1956-11-01,277.52340155799
1956-12-01,301.341150159051
1957-01-01,323.8331131723234
1957-02-01,320.71649787270434
1957-03-01,352.3971802963866
1957-04-01,329.13283786925587
1957-05-01,354.46365476360694
1957-06-01,400.5636015971303
1957-07-01,449.4969154268256
1957-08-01,455.22258564391774
1957-09-01,395.3807405600639
1957-10-01,323.06529924166864
1957-11-01,299.2642632272096
1957-12-01,330.3591891211434
1958-01-01,322.18632482036514
1958-02-01,340.74949631296306
1958-03-01,370.80358440570717
1958-04-01,374.49221141963096
1958-05-01,390.0326909860973
1958-06-01,422.4246498969081
1958-07-01,492.7446920904141
1958-08-01,468.346023566311
1958-09-01,397.40505313249946
1958-10-01,362.2557890880127
1958-11-01,311.62694168002565
1958-12-01,352.5611427137965
1959-01-01,361.98852384830326
1959-02-01,364.28727259791464
1959-03-01,408.5626135463717
1959-04-01,409.79367087295424
1959-05-01,407.6427971063355
1959-06-01,437.9550351118006
1959-07-01,519.6791979808488
1959-08-01,530.1382052939084
1959-09-01,462.5587266556014
1959-10-01,398.64802645955103
1959-11-01,332.1713676497984
1959-12-01,380.38104446096577
1960-01-01,439.11964045450986
1960-02-01,404.3505457043415
1960-03-01,463.0944891063731
1960-04-01,484.9574145533672
1960-05-01,463.9333391400998
1960-06-01,559.8643834820167
1960-07-01,578.1879483211441
1960-08-01,591.590937262992
1960-09-01,493.36445863336843
1960-10-01,452.13666920867684
1960-11-01,432.9335695386119
1960-12-01,458.88002361214524
