Month,#Passengers_synthetic
1949-01-01,101.81901891446708
1949-02-01,100.44329949833612
1949-03-01,123.92910443782253
1949-04-01,124.10323622649088
1949-05-01,121.08513782059205
1949-06-01,129.90500059371223
1949-07-01,160.9141480722066
1949-08-01,160.61486530481918
1949-09-01,140.07966909037052
1949-10-01,120.68097263981548
1949-11-01,102.65122861392179
1949-12-01,115.63162756327361
1950-01-01,112.83315603711002
1950-02-01,120.59298837031525
1950-03-01,126.84846715479836
1950-04-01,130.9144336498798
1950-05-01,132.09684373183427
1950-06-01,154.8956694597212
1950-07-01,168.02460559382854
1950-08-01,173.35875599667347
1950-09-01,149.84123829198674
1950-10-01,133.32876108299507
1950-11-01,114.84931847040426
1950-12-01,140.6604178871314
1951-01-01,155.55605661182094
1951-02-01,139.47164098311345
1951-03-01,162.1359120469456
1951-04-01,159.77103369075
1951-05-01,168.39074676720452
1951-06-01,166.71615161942455
1951-07-01,211.69275809042944
1951-08-01,218.29310091120692
1951-09-01,184.00000000000003
1951-10-01,162.92318370099628
1951-11-01,138.60723746949736
1951-12-01,152.08207454916467
1952-01-01,175.7738836302745
1952-02-01,171.01085604916298
1952-03-01,185.61712897261907
1952-04-01,189.1861378557378
1952-05-01,190.71899201227092
1952-06-01,218.1698949208912
1952-07-01,241.99342420258898
1952-08-01,230.13820123979133
1952-09-01,220.3548053641166
1952-10-01,188.53047713911252
1952-11-01,149.35995492190506
1952-12-01,192.0533162478353
1953-01-01,202.79602743193115
1953-02-01,200.70600537150713
1953-03-01,224.8155511966611
1953-04-01,217.37251673561593
1953-05-01,220.5597409700777
1953-06-01,250.4118798213165
1953-07-01,284.7073741473661
1953-08-01,289.9944158069626
1953-09-01,236.0318544895657
1953-10-01,205.1309413632989
1953-11-01,178.20082135432486
1953-12-01,205.11689145793187
1954-01-01,202.0999262328636
1954-02-01,206.83011556420576
1954-03-01,228.88586951943668
1954-04-01,213.0464374262657
1954-05-01,229.47794633167217
1954-06-01,263.8863465756655
1954-07-01,294.68789822639883
1954-08-01,292.1474090593823
1954-09-01,275.0674762763547
1954-10-01,250.1530570328384
1954-11-01,204.83235761463456
1954-12-01,235.6249755774885
1955-01-01,231.1838460143791
1955-02-01,238.6561758469248
1955-03-01,271.66416529045256
1955-04-01,290.93805989453784
1955-05-01,277.8348174959587
1955-06-01,299.8743686404355
1955-07-01,378.92760514520336
1955-08-01,357.1207587411477
1955-09-01,292.77307544895626
1955-10-01,259.88030587853797
1955-11-01,246.10070443574682
1955-12-01,273.4685395978153
1956-01-01,279.4866455650168
1956-02-01,272.46843069676555
1956-03-01,301.21875345494243
1956-04-01,332.3756069755118
1956-05-01,342.83541634878753
1956-06-01,352.9352925945723
1956-07-01,398.36618877988843
1956-08-01,402.41048386624806
1956-09-01,360.4982550886585
1956-10-01,298.21938993359174
1956-11-01,270.7732134542134
1956-12-01,300.8656290276212
1957-01-01,321.7542143638467
1957-02-01,314.7507974526944
1957-03-01,360.2585844446439
1957-04-01,367.21188458829886
1957-05-01,370.0278566928167
1957-06-01,403.7037849588925
1957-07-01,446.3698886935255
1957-08-01,436.9487821556835
1957-09-01,365.07132411241963
1957-10-01,348.42175327653246
1957-11-01,295.01048082243466
1957-12-01,344.379070557204
1958-01-01,354.4020435926017
1958-02-01,333.7600991426261
1958-03-01,414.63734677613763
1958-04-01,372.2815214252285
1958-05-01,380.96179018989494
1958-06-01,425.60144820452194
1958-07-01,481.41380013856264
1958-08-01,470.92935215720973
1958-09-01,410.60812241772874
1958-10-01,359.1800392507178
1958-11-01,313.13556786344066
1958-12-01,353.57103521431486
1959-01-01,349.5657931118724
1959-02-01,385.4953036944271
1959-03-01,415.59879413351223
1959-04-01,409.323909737905
1959-05-01,422.3880956023994
1959-06-01,445.6920630971332
1959-07-01,532.6087299812601
1959-08-01,503.86675416901085
1959-09-01,437.4097711137885
1959-10-01,406.6193150531393
1959-11-01,362.30182650358773
1959-12-01,407.7844987297436
1960-01-01,388.3058769025598
1960-02-01,441.56228147440925
1960-03-01,439.79434841433664
1960-04-01,455.4976370247108
1960-05-01,471.22796362111455
1960-06-01,537.2575912686401
1960-07-01,625.7535694524598
1960-08-01,577.3499399777879
1960-09-01,558.7232033874583
1960-10-01,472.41463418229444
1960-11-01,411.0434481473685
1960-12-01,466.5794194312504
